"","pcc_ids","sak_ids"
"259","PCCGCIGL_00365","SAKL0A05962g"
"260","PCCGCIGL_00366","SAKL0A05984g"
"261","PCCGCIGL_00367","SAKL0A06006g"
"262","PCCGCIGL_00369","SAKL0A06028g"
"263","PCCGCIGL_00371","SAKL0A06050g"
"264","PCCGCIGL_00372","SAKL0A06072g"
"265","PCCGCIGL_00373","SAKL0A06094g"
"266","PCCGCIGL_00374","SAKL0A06116g"
"267","PCCGCIGL_00375","SAKL0A06138g"
"268","PCCGCIGL_00376","SAKL0A06160g"
"269","PCCGCIGL_00377","SAKL0A06182g"
"270","PCCGCIGL_00378","SAKL0A06204g"
"271","PCCGCIGL_00380","SAKL0A06226g"
"272","PCCGCIGL_00381","SAKL0A06248g"
"273","PCCGCIGL_00382","SAKL0A06270g"
"274","PCCGCIGL_00383","SAKL0A06292g"
"275","PCCGCIGL_00384","SAKL0A06314g"
"276","PCCGCIGL_00385","SAKL0A06336g"
"277","PCCGCIGL_00386","SAKL0A06358g"
"278","PCCGCIGL_00387","SAKL0A06380g"
"279","PCCGCIGL_00388","SAKL0A06402g"
"280","PCCGCIGL_00391","SAKL0A06424g"
"281","PCCGCIGL_00392","SAKL0A06446g"
"282","PCCGCIGL_00393","SAKL0A06468g"
"283","PCCGCIGL_00394","SAKL0A06490g"
"284","PCCGCIGL_00395","SAKL0A06534g"
"285","PCCGCIGL_00397","SAKL0A06556g"
"286","PCCGCIGL_00399","SAKL0A06578g"
"287","PCCGCIGL_00401","Sklu_1.trna4W"
"288","PCCGCIGL_00402","SAKL0A06666g"
"289","PCCGCIGL_00404","SAKL0A06688g"
"290","PCCGCIGL_00406","SAKL0A06710g"
"291","PCCGCIGL_00407","SAKL0A06732g"
"292","PCCGCIGL_00408","SAKL0A06754g"
"293","PCCGCIGL_00409","SAKL0A06776g"
"294","PCCGCIGL_00410","SAKL0A06798g"
"295","PCCGCIGL_00413","SAKL0A06820g"
"296","PCCGCIGL_00414","SAKL0A06842g"
"297","PCCGCIGL_00415","SAKL0A06864g"
"298","PCCGCIGL_00416","SAKL0A06886g"
"299","PCCGCIGL_00417","SAKL0A06908g"
"300","PCCGCIGL_00418","SAKL0A06930g"
"301","PCCGCIGL_00422","SAKL0A06952g"
"302","PCCGCIGL_00423","SAKL0A06974g"
"303","PCCGCIGL_00424","SAKL0A06996g"
"304","PCCGCIGL_00425","SAKL0A07018g"
"305","PCCGCIGL_00427","SAKL0A07040g"
"306","PCCGCIGL_00428","SAKL0A07062g"
"307","PCCGCIGL_00430","SAKL0A07084g"
"308","PCCGCIGL_00432","SAKL0A07106g"
"309","PCCGCIGL_00435","SAKL0A07128g"
"310","PCCGCIGL_00436","SAKL0A07150g"
"311","PCCGCIGL_00437","SAKL0A07172g"
"312","PCCGCIGL_00439","SAKL0A07194g"
"313","PCCGCIGL_00440","SAKL0A07216g"
"314","PCCGCIGL_00441","SAKL0A07238g"
"315","PCCGCIGL_00442","SAKL0A07260g"
"316","PCCGCIGL_00444","SAKL0A07282g"
"317","PCCGCIGL_00445","SAKL0A07304g"
"318","PCCGCIGL_00446","SAKL0A07326g"
"319","PCCGCIGL_00447","SAKL0A07348g"
"320","PCCGCIGL_00452","SAKL0A07370g"
"321","PCCGCIGL_00456","SAKL0A07392g"
"322","PCCGCIGL_00458","SAKL0A07414g"
"323","PCCGCIGL_00459","Sklu_1.trna5E"
"324","PCCGCIGL_00461","SAKL0A07480g"
"325","PCCGCIGL_00465","SAKL0A07502g"
