Condition,SAKIDs,IDs,Value,pcc_ids,highlight
YPD,SAKL0A04818g,11851,-3.29121607,PCCGCIGL_00290,FALSE
YPD,SAKL0A04840g,11555,-0.939331156,PCCGCIGL_00292,FALSE
YPD,SAKL0A04862g,10286,-2.858103888,PCCGCIGL_00293,FALSE
YPD,SAKL0A04884g,15002,-1.509689976,PCCGCIGL_00294,FALSE
YPD,SAKL0A04906g,14525,-3.882365981,PCCGCIGL_00297,FALSE
YPD,SAKL0A04928g,13910,-4.705094748,PCCGCIGL_00298,FALSE
YPD,SAKL0A04950g,10958,-4.589128578,PCCGCIGL_00300,FALSE
YPD,SAKL0A04972g,11341,-3.100975434,PCCGCIGL_00301,FALSE
YPD,SAKL0A04994g,13853,-4.038536886,PCCGCIGL_00302,FALSE
YPD,SAKL0A05016g,10555,-1.381817996,PCCGCIGL_00304,FALSE
YPD,SAKL0A05038g,13044,-3.082916744,PCCGCIGL_00307,FALSE
YPD,SAKL0A05060g,13732,NA,PCCGCIGL_00309,FALSE
YPD,SAKL0A05126g,13146,-1.265037953,PCCGCIGL_00311,FALSE
YPD,SAKL0A05148g,14872,-2.343143345,PCCGCIGL_00312,FALSE
YPD,SAKL0A05170g,12678,-2.489997464,PCCGCIGL_00313,FALSE
YPD,SAKL0A05192g,10640,-1.975110126,PCCGCIGL_00314,FALSE
YPD,SAKL0A05214g,15291,-2.784613862,PCCGCIGL_00315,FALSE
YPD,SAKL0A05236g,13221,-4.94988519,PCCGCIGL_00320,FALSE
YPD,SAKL0A05258g,11538,-4.915807018,PCCGCIGL_00321,FALSE
YPD,SAKL0A05280g,12644,-2.986555907,PCCGCIGL_00322,FALSE
YPD,SAKL0A05302g,14482,-5.468475273,PCCGCIGL_00323,FALSE
YPD,SAKL0A05324g,14153,-3.327767997,PCCGCIGL_00325,FALSE
YPD,SAKL0A05346g,10343,-0.592679504,PCCGCIGL_00326,FALSE
YPD,SAKL0A05368g,14652,-2.833524556,PCCGCIGL_00327,FALSE
YPD,SAKL0A05390g,12257,-0.648544911,PCCGCIGL_00329,FALSE
YPD,SAKL0A05412g,13455,-1.283864091,PCCGCIGL_00330,FALSE
YPD,SAKL0A05434g,10147,-0.437130583,PCCGCIGL_00331,FALSE
YPD,SAKL0A05456g,10897,-2.676231815,PCCGCIGL_00332,FALSE
